ds,y
2019/10/10,2621.3316
2019/10/11,2669.0172
2019/10/12,2632.9704
2019/10/13,1810.2156
2019/10/14,2522.4576
2019/10/15,2547.534
2019/10/16,2281.4472
2019/10/17,2250.7188
2019/10/18,2021.9556
2019/10/19,1603.122
2019/10/20,1572.9312
2019/10/21,2236.6104
2019/10/22,2110.0848
2019/10/23,2228.3592
2019/10/24,2182.4424
2019/10/25,2176.9032
2019/10/26,1633.266
2019/10/27,1445.37
2019/10/28,2075.7648
2019/10/29,1705.2348
2019/10/30,1856.2896
2019/10/31,1900.5336
2019/11/1,1923.9336
2019/11/2,1574.388
2019/11/3,1599.9984
2019/11/4,1971.9636
2019/11/5,1871.2008
2019/11/6,1925.4288
2019/11/7,1909.1424
2019/11/8,1809.5796
2019/11/9,1435.548
2019/11/10,1384.2984
2019/11/11,1869.9264
2019/11/12,2044.2636
2019/11/13,2045.2308
2019/11/14,1868.1972
2019/11/15,1882.8204
2019/11/16,1428.498
2019/11/17,1510.1952
2019/11/18,2011.9824
2019/11/19,1684.0932
2019/11/20,1759.6728
2019/11/21,1731.876
2019/11/22,1754.6928
2019/11/23,1418.2416
2019/11/24,1437.7176
2019/11/25,1956.3216
2019/11/26,1858.704
2019/11/27,1845.9672
2019/11/28,1778.7804
2019/11/29,1764.3312
2019/11/30,1257.1116
2019/12/1,1311.6
2019/12/2,1714.0488
2019/12/3,1724.3352
2019/12/4,1820.2668
2019/12/5,1748.586
2019/12/6,1689.2244
2019/12/7,1184.682
2019/12/8,1328.2944
2019/12/9,1797.6024
2019/12/10,1778.91
2019/12/11,1717.4148
2019/12/12,1677.0744
2019/12/13,1874.034
2019/12/14,1321.3404
2019/12/15,1321.1952
2019/12/16,1973.3412
2019/12/17,1962.4524
2019/12/18,1987.1904
2019/12/19,1923.0912
2019/12/20,1838.4432
2019/12/21,1271.4684
2019/12/22,1238.3712
2019/12/23,1778.772
2019/12/24,1904.9172
2019/12/25,1899.672
2019/12/26,1867.6212
2019/12/27,1721.5896
2019/12/28,1265.1828
2019/12/29,1333.8852
2019/12/30,1930.284
2019/12/31,1877.6856
2020/1/1,1243.1964
2020/1/2,1790.1048
2020/1/3,1779.6324
2020/1/4,1311.5892
2020/1/5,1303.4364
2020/1/6,1855.1112
2020/1/7,1898.3916
2020/1/8,1770.1056
2020/1/9,1738.7712
2020/1/10,1735.59
2020/1/11,1308.0228
2020/1/12,1086.0036
2020/1/13,1582.8348
2020/1/14,1622.3304
2020/1/15,1576.6632
2020/1/16,1629.336
2020/1/17,1506.078
2020/1/18,1038.4536
2020/1/19,1217.1936
2020/1/20,1081.4844
2020/1/21,1113.7368
2020/1/22,1079.5716
2020/1/23,1039.3416
2020/1/24,865.6368
2020/1/25,819.0636
2020/1/26,726.588
2020/1/27,780.2928
2020/1/28,724.8528
2020/1/29,732.5796
2020/1/30,856.8276
2020/1/31,823.86
2020/2/1,797.0112
2020/2/2,784.44
2020/2/3,945.1104
2020/2/4,877.7112
2020/2/5,905.1336
2020/2/6,888.9228
2020/2/7,915.3288
2020/2/8,820.2588
2020/2/9,966.8184
2020/2/10,1045.2684
2020/2/11,1039.8468
2020/2/12,1070.8356
2020/2/13,1144.3332
2020/2/14,1234.8336
2020/2/15,1161.0996
2020/2/16,1093.4616
2020/2/17,1012.386
2020/2/18,1044.534
2020/2/19,1172.4384
2020/2/20,1132.0512
2020/2/21,1084.842
2020/2/22,1075.956
2020/2/23,1142.3016
2020/2/24,1246.8972
2020/2/25,1267.7412
2020/2/26,1319.8512
2020/2/27,1373.7384
2020/2/28,1451.7528
2020/2/29,1268.3244
2020/3/1,1307.1444
2020/3/2,1814.6856
2020/3/3,1915.3176
2020/3/4,1943.8188
2020/3/5,1519.1904
2020/3/6,1620.5688
2020/3/7,1407.1584
2020/3/8,1597.638
2020/3/9,1985.3568
2020/3/10,1660.5768
2020/3/11,1987.902
2020/3/12,1756.632
2020/3/13,2226.1788
2020/3/14,1547.5296
2020/3/15,1446.4548
2020/3/16,1653.2772
2020/3/17,1799.4828
2020/3/18,1710.6624
2020/3/19,1948.7196
2020/3/20,1785.8316
2020/3/21,1673.922
2020/3/22,1645.0452
2020/3/23,1926.4392
2020/3/24,1947.204
2020/3/25,1987.6584
2020/3/26,2323.1196
2020/3/27,2500.3896
2020/3/28,1546.752
2020/3/29,1579.4244
2020/3/30,1734.5916
2020/3/31,1778.7756
2020/4/1,1916.1852
2020/4/2,1991.8596
2020/4/3,1982.0484
2020/4/4,1687.4796
2020/4/5,1508.9856
2020/4/6,1643.8152
2020/4/7,1842.0792
2020/4/8,1827.5004
2020/4/9,1773.2868
2020/4/10,1771.2696
2020/4/11,1833.0792
2020/4/12,1451.0772
2020/4/13,1801.1544
2020/4/14,2099.4216
2020/4/15,1805.3172
2020/4/16,1970.4864
2020/4/17,2150.2032
2020/4/18,1944.0084
2020/4/19,1977.414
2020/4/20,2479.8432
2020/4/21,2684.3796
2020/4/22,2259.9072
2020/4/23,2305.3284
2020/4/24,1954.8288
2020/4/25,1795.422
2020/4/26,1903.9428
2020/4/27,2113.7088
2020/4/28,2263.8588
2020/4/29,2220.0756
2020/4/30,2550.186
2020/5/1,2068.1388
2020/5/2,2151.3012
2020/5/3,2300.5164
2020/5/4,2736.5652
2020/5/5,2859.3096
2020/5/6,3562.0692
2020/5/7,3627.2364
2020/5/8,3970.8276
2020/5/9,3642.4116
2020/5/10,2972.1492
2020/5/11,3593.6448
2020/5/12,3366.8964
2020/5/13,3573.312
2020/5/14,3485.8752
2020/5/15,3528.2316
2020/5/16,2834.5104
2020/5/17,2788.6848
2020/5/18,3542.3988
2020/5/19,3465.3756
2020/5/20,3757.4496
2020/5/21,3837.5988
2020/5/22,3734.5224
2020/5/23,2788.5756
2020/5/24,2646.9144
2020/5/25,3727.5408
2020/5/26,3799.5084
2020/5/27,3610.062
2020/5/28,3555.5832
2020/5/29,3680.25
2020/5/30,2897.1
2020/5/31,2899.2864
2020/6/1,3768.1008
2020/6/2,3795.42
2020/6/3,3725.9208
2020/6/4,3776.5428
2020/6/5,4073.3748
2020/6/6,2919.918
2020/6/7,2808.5796
2020/6/8,3793.6104
2020/6/9,4041.3396
2020/6/10,3745.0104
2020/6/11,3692.958
2020/6/12,3728.2968
2020/6/13,3139.9968
2020/6/14,2804.2026
2020/6/15,3766.3764
2020/6/16,3876.0846
2020/6/17,4084.251
2020/6/18,4080.3894
2020/6/19,4216.6188
2020/6/20,3031.9746
2020/6/21,3047.3712
2020/6/22,4167.7806
2020/6/23,4284.4974
2020/6/24,4289.5626
2020/6/25,2775.9948
2020/6/26,2816.313
2020/6/27,2982.0036
2020/6/28,4106.004
2020/6/29,4054.98
2020/6/30,4188.8688
2020/7/1,4328.367
2020/7/2,4182.2682
2020/7/3,4179.5646
2020/7/4,3080.5464
2020/7/5,2856.7584
2020/7/6,4024.5486
2020/7/7,4065.4362
2020/7/8,4077.2442
2020/7/9,4203.1866
2020/7/10,4328.5794
2020/7/11,3270.1026
2020/7/12,2839.9956
2020/7/13,4156.3716
2020/7/14,4173.6042
2020/7/15,4332.921
2020/7/16,4216.3728
2020/7/17,4213.8972
2020/7/18,3153.7224
2020/7/19,3024.3972
2020/7/20,3978.9312
2020/7/21,3967.542
2020/7/22,3740.1612
2020/7/23,3619.8432
2020/7/24,3685.2498
2020/7/25,3096.6054
2020/7/26,3108.4536
2020/7/27,3925.395
2020/7/28,3886.785
2020/7/29,3952.9902
2020/7/30,3733.7418
2020/7/31,4063.3302
2020/8/1,2993.3214
2020/8/2,2568.1626
2020/8/3,3378.5112
2020/8/4,3489.0606
2020/8/5,3390.6894
2020/8/6,3355.884
2020/8/7,3610.6854
2020/8/8,2984.5104
2020/8/9,2703.0396
2020/8/10,3658.5798
2020/8/11,3886.0746
2020/8/12,3589.176
2020/8/13,3467.2482
2020/8/14,3415.9992
2020/8/15,2944.8528
2020/8/16,2768.322
2020/8/17,3388.7874
2020/8/18,3566.8878
2020/8/19,3211.6716
2020/8/20,3423.9882
2020/8/21,3522.4356
2020/8/22,2983.2282
2020/8/23,2774.4888
2020/8/24,3716.1234
2020/8/25,4164.5958
2020/8/26,4078.7202
2020/8/27,3795.18
2020/8/28,3856.9782
2020/8/29,3097.7394
2020/8/30,3060.7074
2020/8/31,3678.912
2020/9/1,4270.5264
2020/9/2,4235.6886
2020/9/3,4176.039
2020/9/4,4608.9612
2020/9/5,2951.6502
2020/9/6,2871.0354
2020/9/7,4210.3134
2020/9/8,3956.7228
2020/9/9,4217.4342
2020/9/10,4074.6138
2020/9/11,4127.0178
2020/9/12,2931.0378
2020/9/13,2806.1544
2020/9/14,3999.6078
2020/9/15,4016.7492
2020/9/16,3893.655
2020/9/17,4097.709
2020/9/18,4099.257
2020/9/19,2719.5648
2020/9/20,2758.2168
2020/9/21,4215.7812
2020/9/22,4121.3826
2020/9/23,4147.2882
2020/9/24,3544.2798
2020/9/25,3437.1828
2020/9/26,2818.7772
2020/9/27,3065.1678
2020/9/28,3232.9104
2020/9/29,3581.1414
2020/9/30,3526.869
2020/10/1,2150.8506
2020/10/2,2395.8924
2020/10/3,2449.239
2020/10/4,2449.8288
2020/10/5,2503.2498
2020/10/6,2276.2512
2020/10/7,2029.2318
2020/10/8,2078.7636
2020/10/9,2651.1036
2020/10/10,2818.689
2020/10/11,2332.233
2020/10/12,3145.9356
2020/10/13,3166.6584
2020/10/14,3075.354
2020/10/15,3382.9068
2020/10/16,3304.1022
2020/10/17,2072.1366
2020/10/18,1970.568
2020/10/19,2466.7614
2020/10/20,2602.9524
2020/10/21,2491.659
2020/10/22,2398.29
2020/10/23,2505.1986
2020/10/24,1999.2768
2020/10/25,1994.469
2020/10/26,2794.8348
2020/10/27,2939.0592
2020/10/28,2970.1746
2020/10/29,2890.3494
2020/10/30,2798.787
2020/10/31,2175.8718
2020/11/1,2159.4468
2020/11/2,2780.1978
2020/11/3,2642.697
2020/11/4,2766.885
2020/11/5,2685.078
2020/11/6,2804.415
2020/11/7,2152.8732
2020/11/8,2130.81
2020/11/9,2582.9718
2020/11/10,2578.9926
2020/11/11,2565.9486
2020/11/12,2435.502
2020/11/13,2689.2108
2020/11/14,2181.981
2020/11/15,2074.401
2020/11/16,2717.3694
2020/11/17,2759.9076
2020/11/18,2897.9946
2020/11/19,3261.2292
2020/11/20,3216.3828
2020/11/21,2468.5374
2020/11/22,2511.7116
2020/11/23,2811.438
2020/11/24,2752.8048
2020/11/25,2744.1696
2020/11/26,2826.318
2020/11/27,2515.4718
2020/11/28,1839.2214
2020/11/29,1698.9162
2020/11/30,2212.5744
2020/12/1,2274.7482
2020/12/2,2257.434
2020/12/3,2398.4886
2020/12/4,2331.4422
2020/12/5,1776.3054
2020/12/6,1715.3328
2020/12/7,2396.085
2020/12/8,2350.4184
2020/12/9,2392.7634
2020/12/10,2384.424
2020/12/11,2470.923
2020/12/12,1852.6512
2020/12/13,1815.117
2020/12/14,2633.7462
2020/12/15,2686.3128
2020/12/16,2807.1174
2020/12/17,2810.0526
2020/12/18,2716.9698
2020/12/19,1898.8776
2020/12/20,1814.9946
2020/12/21,2347.7478
2020/12/22,2401.0662
2020/12/23,2539.9632
2020/12/24,2300.4138
2020/12/25,2367.108
2020/12/26,1841.352
2020/12/27,1592.16
2020/12/28,2263.3224
2020/12/29,2340.6078
2020/12/30,2330.6166
2020/12/31,2390.1582
2021/1/1,1662.087
2021/1/2,1545.201
2021/1/3,1489.5324
2021/1/4,2565.585
2021/1/5,2316.3498
2021/1/6,2330.352
2021/1/7,2372.5884
2021/1/8,2644.542
2021/1/9,1777.6242
2021/1/10,1766.3514
2021/1/11,2575.737
2021/1/12,2446.3338
2021/1/13,2356.9698
2021/1/14,2430.576
2021/1/15,2273.3646
2021/1/16,1697.6682
2021/1/17,1690.8594
2021/1/18,2379.0162
2021/1/19,2246.5992
2021/1/20,2156.2362
2021/1/21,2195.8896
2021/1/22,2511.6924
2021/1/23,1519.9806
2021/1/24,1502.8758
2021/1/25,1852.2408
2021/1/27,1743.1806
2021/1/28,1831.8714
2021/1/29,1732.4232
2021/1/30,1362.1722
2021/1/31,1382.136
2021/2/1,1778.6334
2021/2/2,1835.0586
2021/2/3,1846.9542
2021/2/4,1847.4924
2021/2/5,1730.4132
2021/2/6,1367.742
2021/2/7,1710.0276
2021/2/8,1772.1084
2021/2/9,1762.6434
2021/2/10,1588.8882
2021/2/11,1245.426
2021/2/12,1161.7542
2021/2/13,1146.6978
2021/2/14,1158.3474
2021/2/15,1189.5906
2021/2/16,1269.4962
2021/2/17,1209.8898
2021/2/18,1626.0186
2021/2/19,1667.3748
2021/2/20,1621.7994
2021/2/21,1435.1358
2021/2/22,1952.2752
2021/2/23,2098.776
2021/2/24,2135.736
2021/2/25,2255.8218
2021/2/26,2314.6824
2021/2/27,1508.1618
2021/2/28,1504.9122
2021/3/1,2286.7014
2021/3/2,2166.168
2021/3/3,2246.322
2021/3/4,2437.074
2021/3/5,2296.1784
2021/3/6,1831.2366
2021/3/7,1545.9144
2021/3/8,2353.9242
2021/3/9,2391.4608
2021/3/10,2316.927
2021/3/11,2265.447
2021/3/12,2437.6968
2021/3/13,1685.4516
2021/3/14,1671.4722
2021/3/15,2109.7788
2021/3/16,2302.0488
2021/3/17,2365.5438
2021/3/18,2459.799
2021/3/19,2422.7808
2021/3/20,1809.1038
2021/3/21,1471.3668
2021/3/22,1857.5178
2021/3/23,2081.997
2021/3/24,1871.3442
2021/3/25,2055.6138
2021/3/26,2171.6094
2021/3/27,1779.6552
2021/3/28,1848.3156
2021/3/29,2467.5138
2021/3/30,2542.857
2021/3/31,2548.0992
2021/4/1,2570.8176
2021/4/2,2666.0886
2021/4/3,1975.1616
2021/4/4,1596.4404
2021/4/5,1639.2984
2021/4/6,2356.5906
2021/4/7,2497.7826
2021/4/8,2271.2754
2021/4/9,2112.4362
2021/4/10,1633.314
2021/4/11,1708.5366
2021/4/12,2331.5394
2021/4/13,2555.4912
2021/4/14,2576.8866
2021/4/15,2464.2414
2021/4/16,2366.6382
2021/4/17,1637.3394
2021/4/18,1698.9552
2021/4/19,2221.6122
2021/4/20,2328.3354
2021/4/21,2418.0642
2021/4/22,2604.975
2021/4/23,2713.9518
2021/4/24,2205.4056
2021/4/25,2688.5382
2021/4/26,1526.9208
2021/4/27,2315.8344
2021/4/28,2269.2474
2021/4/29,2156.7414
2021/4/30,2240.4114
2021/5/1,1841.1096
2021/5/2,1927.5204
2021/5/3,1715.3646
2021/5/4,2034.234
2021/5/5,2006.0784
2021/5/6,2678.124
2021/5/7,2919.3672
2021/5/8,3130.7496
2021/5/9,2245.911
2021/5/10,3058.6986
2021/5/11,3315.1194
2021/5/12,3345.3792
2021/5/13,3488.1198
2021/5/14,3319.473
2021/5/15,2559.7296
2021/5/16,2413.0224
2021/5/17,3443.8524
2021/5/18,3416.1438
2021/5/19,3399.3156
2021/5/20,3404.5392
2021/5/21,3507.4878
2021/5/22,2649.8148
2021/5/23,2507.5206
2021/5/24,3518.7726
2021/5/25,3490.614
2021/5/26,3499.8708
2021/5/27,3535.8042
2021/5/28,3546.6558
2021/5/29,2677.4808
2021/5/30,2436.0774
2021/5/31,3533.0358
2021/6/1,3147.8256
2021/6/2,3058.767
2021/6/3,3378.2148
2021/6/4,3056.7192
2021/6/5,1987.8996
2021/6/6,2208.2928
2021/6/7,3264.9852
2021/6/8,3381.0576
2021/6/9,3487.275
2021/6/10,3435.0714
2021/6/11,3384.3228
2021/6/12,2450.01
2021/6/13,2243.5698
2021/6/14,2263.8084
2021/6/15,3395.592
2021/6/16,3459.171
2021/6/17,3491.2494
2021/6/18,3550.0074
2021/6/19,2785.4286
2021/6/20,2568.6594
2021/6/21,3543.7806
2021/6/22,3060.4374
2021/6/23,3030.9912
2021/6/24,3019.9254
2021/6/25,3125.5704
2021/6/26,2711.7996
2021/6/27,2543.823
2021/6/28,3525.5028
2021/6/29,3412.9752
2021/6/30,3418.4358
2021/7/1,3525.0846
2021/7/2,3414.8832
2021/7/3,2684.3634
2021/7/4,2384.652
2021/7/5,3537.3678
2021/7/6,3535.4718
2021/7/7,3590.4654
2021/7/8,3411.6798
2021/7/9,3268.4466
2021/7/10,2724.8706
2021/7/11,2410.6266
2021/7/12,3446.9322
2021/7/13,3211.0902
2021/7/14,3287.1642
2021/7/15,3362.649
2021/7/16,3299.5722
2021/7/17,2573.7684
2021/7/18,2435.1534
2021/7/19,3202.2234
2021/7/20,2992.4058
2021/7/21,3010.677
2021/7/22,3093.2214
2021/7/23,3136.7058
2021/7/24,2698.9716
2021/7/25,2470.0734
2021/7/26,3437.8056
2021/7/27,3403.74
2021/7/28,3383.85
2021/7/29,3374.145
2021/7/30,3174.804
2021/7/31,2677.5498
2021/8/1,2428.833
2021/8/2,2982.0954
2021/8/3,3133.0488
2021/8/4,3082.2072
2021/8/5,3003.123
2021/8/6,3070.5174
2021/8/7,2526.8004
2021/8/8,2343.5808
2021/8/9,3124.701
2021/8/10,2854.7076
2021/8/11,2835.381
2021/8/12,3092.5866
2021/8/13,3010.4856
2021/8/14,2475.9534
2021/8/15,2210.9268
2021/8/16,3037.3128
2021/8/17,3135.3678
2021/8/18,3217.6968
2021/8/19,3173.2944
2021/8/20,3208.2834
2021/8/21,2531.592
2021/8/22,2321.0214
2021/8/23,3200.8014
2021/8/24,3293.208
2021/8/25,3285.6264
2021/8/26,3387.783
2021/8/27,3207.7014
2021/8/28,2418.1716
2021/8/29,2486.0946
2021/8/30,3316.1904
2021/8/31,3223.692
